x_mm,y_mm,cold_34c,hot_100c,delta
30.0,30.0,-0.04875,-0.06688,-0.01813
59.0,30.0,-0.30188,-0.03000,0.27187
88.0,30.0,-0.27563,-0.00187,0.27375
117.0,30.0,-0.27187,0.00688,0.27875
146.0,30.0,-0.27750,0.00750,0.28500
175.0,30.0,-0.28375,0.00187,0.28563
204.0,30.0,-0.30188,-0.01125,0.29063
233.0,30.0,-0.30188,-0.01812,0.28375
262.0,30.0,-0.29313,-0.01063,0.28250
291.0,30.0,-0.29375,-0.01688,0.27687
320.0,30.0,-0.30375,-0.02687,0.27688
30.0,59.0,-0.31812,-0.03438,0.28375
59.0,59.0,-0.30062,-0.01375,0.28687
88.0,59.0,-0.27000,0.02375,0.29375
117.0,59.0,-0.26625,0.02625,0.29250
146.0,59.0,-0.27125,0.02375,0.29500
175.0,59.0,-0.28000,0.01438,0.29438
204.0,59.0,-0.28000,0.00750,0.28750
233.0,59.0,-0.28625,0.00313,0.28937
262.0,59.0,-0.27563,0.00500,0.28063
291.0,59.0,-0.27500,0.00063,0.27563
320.0,59.0,-0.28063,-0.00500,0.27563
30.0,88.0,-0.33250,-0.04813,0.28438
59.0,88.0,-0.31688,-0.02500,0.29187
88.0,88.0,-0.29938,-0.00187,0.29750
117.0,88.0,-0.28813,0.01188,0.30000
146.0,88.0,-0.27813,0.02000,0.29813
175.0,88.0,-0.28313,0.00313,0.28625
204.0,88.0,-0.28937,0.01188,0.30125
233.0,88.0,-0.28563,0.00562,0.29125
262.0,88.0,-0.28563,-0.00250,0.28313
291.0,88.0,-0.29063,-0.00750,0.28313
320.0,88.0,-0.29500,-0.01750,0.27750
30.0,117.0,-0.35250,-0.06250,0.29000
59.0,117.0,-0.33875,-0.04375,0.29500
88.0,117.0,-0.31000,-0.01063,0.29938
117.0,117.0,-0.30000,-0.00063,0.29938
146.0,117.0,-0.29750,-0.00187,0.29562
175.0,117.0,-0.30375,-0.00063,0.30313
204.0,117.0,-0.30750,-0.00813,0.29938
233.0,117.0,-0.30438,-0.00438,0.30000
262.0,117.0,-0.29000,0.00500,0.29500
291.0,117.0,-0.30312,-0.01188,0.29125
320.0,117.0,-0.30750,-0.02375,0.28375
30.0,146.0,-0.34937,-0.06688,0.28250
59.0,146.0,-0.33750,-0.05125,0.28625
88.0,146.0,-0.31000,-0.01688,0.29312
117.0,146.0,-0.29250,-0.00063,0.29187
146.0,146.0,-0.29625,0.00250,0.29875
175.0,146.0,-0.29812,-0.00187,0.29625
204.0,146.0,-0.30000,0.00000,0.30000
233.0,146.0,-0.29875,-0.00750,0.29125
262.0,146.0,-0.29812,-0.01125,0.28687
291.0,146.0,-0.30375,-0.02125,0.28250
320.0,146.0,-0.30812,-0.03812,0.27000
30.0,175.0,-0.35875,-0.09438,0.26438
59.0,175.0,-0.35125,-0.08500,0.26625
88.0,175.0,-0.32188,-0.05375,0.26813
117.0,175.0,-0.30938,-0.02687,0.28250
146.0,175.0,-0.30812,-0.02562,0.28250
175.0,175.0,-0.30812,-0.01875,0.28937
204.0,175.0,-0.30375,-0.01063,0.29313
233.0,175.0,-0.30500,-0.01688,0.28812
262.0,175.0,-0.30625,-0.02438,0.28188
291.0,175.0,-0.31250,-0.03313,0.27937
320.0,175.0,-0.32500,-0.05625,0.26875
30.0,204.0,-0.35375,-0.09625,0.25750
59.0,204.0,-0.34375,-0.08812,0.25562
88.0,204.0,-0.32500,-0.05750,0.26750
117.0,204.0,-0.32438,-0.04375,0.28063
146.0,204.0,-0.31750,-0.03687,0.28063
175.0,204.0,-0.31688,-0.03000,0.28687
204.0,204.0,-0.31500,-0.03000,0.28500
233.0,204.0,-0.30688,-0.02813,0.27875
262.0,204.0,-0.31125,-0.03750,0.27375
291.0,204.0,-0.31875,-0.05625,0.26250
320.0,204.0,-0.32750,-0.07250,0.25500
30.0,233.0,-0.32500,-0.07687,0.24813
59.0,233.0,-0.32438,-0.06938,0.25500
88.0,233.0,-0.31125,-0.05500,0.25625
117.0,233.0,-0.30438,-0.03625,0.26813
146.0,233.0,-0.30312,-0.03125,0.27187
175.0,233.0,-0.30438,-0.03188,0.27250
204.0,233.0,-0.30312,-0.02875,0.27437
233.0,233.0,-0.29625,-0.02813,0.26813
262.0,233.0,-0.30000,-0.03938,0.26062
291.0,233.0,-0.30625,-0.05063,0.25562
320.0,233.0,-0.32688,-0.07187,0.25500
30.0,262.0,-0.30125,-0.05750,0.24375
59.0,262.0,-0.30625,-0.06313,0.24313
88.0,262.0,-0.29938,-0.04125,0.25812
117.0,262.0,-0.29625,-0.04188,0.25438
146.0,262.0,-0.29563,-0.04562,0.25000
175.0,262.0,-0.29625,-0.03500,0.26125
204.0,262.0,-0.29500,-0.03438,0.26062
233.0,262.0,-0.29500,-0.02875,0.26625
262.0,262.0,-0.29125,-0.04000,0.25125
291.0,262.0,-0.30625,-0.06062,0.24563
320.0,262.0,-0.32625,-0.08125,0.24500
30.0,291.0,-0.27625,-0.04312,0.23312
59.0,291.0,-0.28750,-0.05688,0.23062
88.0,291.0,-0.27687,-0.03687,0.24000
