freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.384e+00,6.118e+00,6.055e+01,7.505e+01
1.6,3.821e+01,2.003e+01,3.668e+02,4.251e+02
3.1,3.037e+01,1.562e+01,1.299e+02,1.759e+02
4.7,2.293e+01,1.465e+01,5.561e+01,9.319e+01
6.3,2.381e+01,1.307e+01,3.926e+01,7.614e+01
7.9,2.471e+01,1.203e+01,2.863e+01,6.538e+01
9.4,2.268e+01,1.385e+01,3.217e+01,6.870e+01
11.0,2.094e+01,1.149e+01,2.639e+01,5.882e+01
12.6,1.945e+01,1.084e+01,3.377e+01,6.406e+01
14.1,1.895e+01,1.177e+01,3.327e+01,6.399e+01
15.7,2.061e+01,1.326e+01,4.436e+01,7.823e+01
17.3,1.901e+01,1.314e+01,4.874e+01,8.088e+01
18.8,1.979e+01,1.233e+01,5.653e+01,8.865e+01
20.4,2.093e+01,1.281e+01,6.220e+01,9.593e+01
22.0,2.245e+01,1.317e+01,7.198e+01,1.076e+02
23.6,2.029e+01,1.361e+01,8.848e+01,1.224e+02
25.1,1.997e+01,1.183e+01,1.135e+02,1.453e+02
26.7,2.403e+01,1.148e+01,1.391e+02,1.746e+02
28.3,2.482e+01,1.302e+01,1.664e+02,2.043e+02
29.8,2.420e+01,1.294e+01,2.044e+02,2.416e+02
31.4,2.320e+01,1.311e+01,2.621e+02,2.984e+02
33.0,2.467e+01,1.647e+01,3.414e+02,3.826e+02
34.5,2.488e+01,1.926e+01,4.000e+02,4.442e+02
36.1,2.672e+01,1.763e+01,4.985e+02,5.428e+02
37.7,3.623e+01,1.651e+01,6.829e+02,7.357e+02
39.3,3.824e+01,1.750e+01,7.187e+02,7.744e+02
40.8,3.670e+01,2.123e+01,7.429e+02,8.009e+02
42.4,4.443e+01,3.492e+01,1.031e+03,1.110e+03
44.0,4.450e+01,6.519e+01,1.523e+03,1.633e+03
45.5,4.573e+01,1.385e+02,2.412e+03,2.596e+03
47.1,4.717e+01,2.970e+02,4.216e+03,4.560e+03
48.7,5.744e+01,8.345e+02,8.395e+03,9.287e+03
50.2,8.430e+01,2.340e+03,1.538e+04,1.781e+04
51.8,1.226e+02,4.816e+03,2.491e+04,2.985e+04
53.4,1.486e+02,7.519e+03,3.205e+04,3.972e+04
55.0,2.538e+02,8.508e+03,2.577e+04,3.453e+04
56.5,4.485e+02,7.378e+03,1.457e+04,2.239e+04
58.1,6.028e+02,6.351e+03,8.174e+03,1.513e+04
59.7,6.889e+02,5.630e+03,5.268e+03,1.159e+04
61.2,6.505e+02,4.751e+03,4.185e+03,9.586e+03
